station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CIC,1996-12-20 00:51,M,M,M,140.00,9.00,M,30.20,M,3.00,M,BKN,   ,   ,   ,20000.00,M,M,M,HZ,M,M,M,M,M,M,M,KCIC 200051Z 14009KT 3SM HZ BKN200 A3020,M
CIC,1996-12-20 01:45,M,M,M,140.00,10.00,M,30.21,M,2.00,M,BKN,   ,   ,   ,10000.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 200145Z 14010KT 2SM BR BKN100 A3021,M
CIC,1996-12-20 02:45,M,M,M,120.00,8.00,M,30.21,M,0.20,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KCIC 200245Z 12008KT 3/16 FG VV005 A3021 RMK LAST,M
CIC,1996-12-20 14:53,M,M,M,0.00,0.00,M,30.17,M,1.00,M,VV ,   ,   ,   ,400.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 201453Z 00000KT 1SM BR VV004 A3017,M
CIC,1996-12-20 15:54,M,M,M,0.00,0.00,M,30.18,M,0.75,M,VV ,   ,   ,   ,400.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 201554Z 00000KT 3/4SM BR VV004 A3018,M
CIC,1996-12-20 17:48,M,M,M,130.00,9.04,M,30.15,M,0.80,M,   ,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,KCIC 201748Z 13009KT 3/4SM BG VV003 A3015,M
CIC,1996-12-20 18:47,M,M,M,140.00,11.00,M,30.15,M,0.75,M,VV ,   ,   ,   ,300.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 201847Z 14011KT 3/4SM BR VV003 A3015,M
CIC,1996-12-20 19:47,M,M,M,140.00,10.00,M,30.12,M,0.75,M,VV ,   ,   ,   ,300.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 201947Z 14010KT 3/4SM BR VV003 A3012,M
CIC,1996-12-20 20:56,M,M,M,130.00,10.00,M,30.06,M,1.00,M,VV ,   ,   ,   ,300.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 202056Z 13010KT 1SM BR VV003 A3006,M
CIC,1996-12-20 21:48,M,M,M,170.00,7.00,M,30.04,M,1.50,M,VV ,   ,   ,   ,300.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 202148Z 17007KT 1 1/2SM BR VV003 A3004,M
CIC,1996-12-20 22:51,M,M,M,140.00,12.00,M,30.00,M,2.00,M,VV ,   ,   ,   ,400.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 202251Z 14012KT 2SM BR VV004 A3000,M
CIC,1996-12-21 01:45,M,M,M,100.00,5.00,M,29.96,M,3.00,M,VV ,   ,   ,   ,600.00,M,M,M,-RA BR,M,M,M,M,M,M,M,KCIC 210145Z 10005KT 3SM -RA BR VV006 A2996,M
CIC,1996-12-21 02:45,M,M,M,0.00,0.00,M,29.94,M,3.00,M,OVC,   ,   ,   ,1000.00,M,M,M,-RA BR,M,M,M,M,M,M,M,KCIC 210245Z 00000KT 3SM -RA BR OVC010 A2994 RMK CIG RGD LAST,M
CIC,1996-12-21 14:52,M,M,M,330.00,5.00,M,29.67,M,0.12,M,VV ,   ,   ,   ,0.00,M,M,M,-RA FG,M,M,M,M,M,M,M,KCIC 211452Z 33005KT 1/8SM -RA FG VV000 A2967,M
CIC,1996-12-21 15:58,M,M,M,280.00,6.00,M,29.68,M,0.25,M,VV ,   ,   ,   ,100.00,M,M,M,FG,M,M,M,M,M,M,M,KCIC 211558Z 28006KT 1/4SM FG VV001 A2968,M
CIC,1996-12-21 16:52,M,M,M,300.00,7.00,M,29.69,M,0.25,M,VV ,   ,   ,   ,0.00,M,M,M,FG,M,M,M,M,M,M,M,KCIC 211652Z 30007KT 1/4SM FG VV000 2969,M
CIC,1996-12-21 17:49,M,M,M,0.00,0.00,M,29.69,M,0.12,M,VV ,   ,   ,   ,100.00,M,M,M,FG,M,M,M,M,M,M,M,KCIC 211749Z 00000KT 2/16SM FG VV001 A2969,M
CIC,1996-12-21 18:49,M,M,M,0.00,0.00,M,29.69,M,0.38,M,VV ,   ,   ,   ,100.00,M,M,M,FG,M,M,M,M,M,M,M,KCIC 211849Z 00000KT 3/8SM FG VV001 A2969,M
CIC,1996-12-21 19:47,M,M,M,120.00,9.00,M,29.66,M,0.19,M,VV ,   ,   ,   ,100.00,M,M,M,FG,M,M,M,M,M,M,M,KCIC 211947Z 12009KT 3/16SM FG VV001 A2966,M
CIC,1996-12-21 20:51,M,M,M,100.00,7.00,M,29.62,M,0.19,M,VV ,   ,   ,   ,100.00,M,M,M,FG,M,M,M,M,M,M,M,KCIC 212051Z 10007KT 3/16SM FG VV001 A2962,M
CIC,1996-12-21 21:45,M,M,M,130.00,14.00,M,29.59,M,5.00,M,SCT,BKN,OVC,   ,400.00,1000.00,4000.00,M,BR,M,M,M,M,M,M,M,KCIC 212145Z 13014KT 5SM BR SCT004 BKN010 OVC040 A2959 RMK CIG RGD,M
CIC,1996-12-21 22:45,M,M,M,130.00,11.00,M,29.60,M,9.00,M,SCT,BKN,OVC,   ,600.00,2200.00,7000.00,M,M,M,M,M,M,M,M,M,KCIC 212245Z 13011KT 9SM SCT006 BKN022 OVC070 A2960 RMK CIG RGD,M
CIC,1996-12-21 23:45,M,M,M,120.00,15.00,M,29.60,M,15.00,M,SCT,OVC,   ,   ,600.00,2200.00,M,M,M,M,M,M,M,M,M,M,KCIC 212345Z 12015KT 15SM SCT006 OVC022 A2960 RMK CIG RGD,M
CIC,1996-12-22 01:45,M,M,M,120.00,12.00,M,29.60,M,15.00,M,BKN,OVC,   ,   ,2200.00,7000.00,M,M,M,M,M,M,M,M,M,M,KCIC 220145Z 12012KT 15SM BKN022 OVC070 A2960 RMK CIG RGD,M
CIC,1996-12-22 14:54,M,M,M,130.00,18.00,M,29.62,M,7.00,M,OVC,   ,   ,   ,3000.00,M,M,M,M,M,M,M,M,M,M,M,KCIC 221454Z 13018KT 7SM OVC030 A2962 RMK CIG RGD,M
CIC,1996-12-22 15:49,M,M,M,120.00,15.00,M,29.63,M,4.00,M,OVC,   ,   ,   ,2000.00,M,M,M,BR,M,M,M,M,M,M,M,KCIC 221549Z 12015KT 4SM BR OVC020 A2963 RMK CIG RGD,M
